question	category
派遣员工被退回后可以要求赔偿吗？	214
车祸后保险理赔的流程怎么样	716
收养一个健康的孩子需要哪些材料?	1123
所在单位不休年休假怎么办？	277
工伤认定的流程是如何的？	194
其他业主装修影响休息怎么解决？	2325
劳务派遣员工发生工伤，谁负责？	598
劳动合同约定公司有权随时调岗是否合法？	425
遭遇房屋质量不合格问题时怎么办	1061
单位要员工加班，员工应该怎么办？	255
交通事故诉讼费按什么标准计算	657
因工死亡赔偿标准	202
用人单位能否与同一劳动者约定两次或者两次以上的试用期？	257
电子送达	1665
农村户口能按照城镇标准赔偿吗？	626
离婚时，双方要怎样处分公司股份了？	72
建设单位未通过招投标方式与选聘的物业服务企业签订的前期物业服务合同是否有效?	2170
未达到手术目的，忽视手术告知，是不是由医院承担责任？	2374
不服交通事故责任认定书,该怎么处理?	732
试用期未签订劳动合同，辞退员工需要支付经济赔偿金吗？	2711
没休年休假工资如何计算？	472
社会工作者可以参与社区矫正工作吗？	3296
一次性赔偿后还可主张后续治疗费吗?	653
民间借贷中能否同时主张逾期利息和违约金	905
交通事故责任认定书的内容,不服交通事故认定应怎么办	732
被车撞,对方全责,车主不出医药费,我该怎么办	625
丈夫出轨离婚	120
用人单位不需要支付经济补偿金的情形有哪些？	802
船员的带薪年休假是如何规定的？	3581
发生交通事故怎么处理	695
如何合法地更换物业公司？	2214
用人单位能否约定服务期？	254
发生轻微的交通事故,人没事,可以赔偿哪些	630
肇事者逃逸,有事故现场照片证据,如何处理?	754
抱养孩子有哪些条件？	1223
再婚儿媳、女婿可以继承原公婆、岳父母的遗产吗？	364
离婚调解书	1355
房屋供暖不达标，业主可以怎么办？	2071
企业参加了基本医疗保险就可以不支付患病职工的病假工资吗?	456
父母干涉婚姻？	129
协议离婚要注意哪些	104
什么情况下，用人单位可以与劳动者约定服务期？	254
因工负伤，后续费用应由谁负责？	215
签赡养协议要注意哪些问题？	1219
法院传票	1814
法定继承人范围包括哪些人？	272
农民工工伤	139
物业公司能利用小区空地划出车位出租吗?	2124
医生没有尽到注意义务致人死亡，能不能让医院承担责任？	2402
想请一位律师，大概需要多少费用?	929
申请工伤认定要有什么材料？	566
送养？	1376
因用人单位单方变更工作地点，劳动者解除劳动合同怎么赔偿？	3668
对仲裁裁决书不服怎么救济	260
受赠人有下列哪种情形，赠与人可以撤销赠与？	1270
医院出售变质药物致人损害，谁来担责？	2391
录用条件约定不明的，用人单位能否以劳动者不符合录用条件为由将其辞退？	3106
遗嘱公证	1949
用房子做了抵押担保，如果借款人不还钱法院会执行我的房子吗？	863
儿媳对公婆有赡养义务吗	1201
欠债人如果死亡怎么办，债款向谁索要？	783
交通事故发生后,完全责任方逃离现场,要负刑事责任吗?	708
法律援助的范围包括哪些?	1071
被扶养人生活费	1627
医疗机构伪造病历会承担什么责任？	2417
欠钱不还，请个律师要花多少钱？	806
录用通知书与劳动合同内容不一致，以哪个为准？	418
业主委员会可否能直接代替物业公司管理小区？	2146
酒驾交强险赔偿吗？交强险免责条款	713
什么情况下子女无赡养父母的义务？	1213
试用期间的工资要发吗？	180
我帮老公的赌债借条做了担保人现在无法偿还该怎么办？	858
不动产	1387
职业病鉴定需要哪些申请材料？	198
工伤认定需要什么 	160
办理养老保险关系省内转出需要准备什么材料？	306
我父亲上班时间突发疾病死亡,请问一次性工亡补助金怎么算？	202
个人可以怎么缴纳社保？	305
试用期不交社保,我们该怎么应对？	302
签订劳动合同时应该注意哪些问题？	337
物业费太高，不能让人接受怎么办？	2353
交通事故事后赔偿问题	622
员工辞职需要支付违约金吗？	228
劳务派遣合同到期了，用人单位必须要和我续签吗？	346
工伤离职可以拿一次性医疗补助金?	207
以个人名义为公司签借款合同 欠款该谁还?|	877
婚姻关系存续期间一方私自借款在离婚时可以要求另一方分担吗？	779
物业不给开发票怎么办?	2209
员工因为单位拖欠工资主动辞职，要求经济补偿合理吗？	498
离婚后子女抚养费标准应是多少	21
开车撞了人，需要垫付医药费吗？	633
取保候审应该缴纳多少保证金?	767
交通事故赔偿和工伤保险赔偿可以同时获得吗	733
可以作为送养人的公民和组织有哪些	1157
别人用我身份证贷款，他还不了，我有责任吗？	848
交通事故保险如何理赔？	629
收养外国孩子的条件有哪些	1137
单位为员工解决了户口问题，可不可以与员工约定服务期？	537
劳动仲裁出结果需要多长时间	233
法律援助提供哪些方面的援助服务?	1074
物管对业主乱收费，业主该怎么维权？	2072
我欠了很多网贷，但都是把钱借给别人了，对方现在还不上，我怎么办？	773
借条过了诉讼时效 我还能要回钱吗？	784
员工拒绝签订劳动合同，单位要怎么办？	436
用人单位可以因为员工旷工而停交五险一金？	455
单位和我签订了劳动合同，但是没有盖章，有效吗？	329
想报销工伤费用，要如何操作？	141
物业公司经营公共部分需要了解哪些情况？	2101
销售者应履行哪些义务？	2045
申请人对于仲裁裁决书不服怎么办?	260
小区外墙广告的收益归谁所有？	2216
企业规章制度没有经过民主程序，就全部无效吗？	450
医疗机构有过失但不构成医疗事故，患者能否让其担责？	2397
结婚前贷款买的车 婚后共同还贷 若是离婚怎么分配？	69
如何准确判断“医疗期”的期限？	3133
交通事故赔偿诉讼要准备哪些证据	627
一次性伤残就业补助金是否有时间限制?	492
路程假	1806
每个月给多少抚养费？	21
怎么办理学历公证？	1011
预防医院收费不合理的办法有哪些？	2448
我和公司签了一年的劳动合同，没到期辞职会赔偿公司吗？	232
拒不执行法院判决的后果,	1250
具有法律效力的借条应该怎么写?	891
丧假工资怎么算？	243
工伤伤残鉴定需要什么材料?	1170
交通事故律师费怎么算？	648
强制隔离戒毒的期限是多久？	3391
劳动合同到期终止，企业是否需要支付经济补偿金？	3626
民间过继收养合法吗？	1129
企业之间能否相互借贷?	878
真的吗	1890
工伤认定书下来在没有做伤残鉴定之前可以先去报销医疗费吗？	174
只签订试用期合同是否有效？	538
业主要交装修押金、装修保证金吗？	2290
劳动争议案的诉讼费是多少啊?	278
没有单位个人怎么缴纳社会保险？	305
用人单位应何时与劳动者订立劳动合同？	523
捡到弃婴想收养,怎么办?	1124
司法鉴定有哪些类别？	1078
具备什么条件可以监外执行？	3488
该谁来交供暖开户费？	2280
职工自愿放弃社会保险的协议是否有效？	332
"劳动合同到期续签	"	258
交通事故内脏损伤	1263
劳动法规定企业什么时候为员工购买社保？	549
劳动仲裁法院诉讼费需要多少钱?	276
一房二卖	1972
已经为胎儿保存了遗产份额，但胎儿出生后发现为死体的怎么办？	375
单位不给我们上保险怎么办	303
伤残鉴定需要什么材料	660
去做职业病鉴定需要些什么材料？	585
陪护费的赔偿要如何计算？	2478
发生交通事故，财产损失应该怎么赔？	630
员工表现不好单位可以延长试用期吗？	443
领取失业金都需要什么材料 ？	324
申请工伤需要哪些留程？	192
判决书下来了是胜诉方，对方不给钱怎么办?	688
新生儿窒息死亡，医院有错该承担什么责任？	2464
单位不发工资员工可以辞职并要求赔偿吗？	235
成绩单公证怎么办理？	1012
离婚协议书咋写？	15
交通事故认定书要多久才能出具	729
没有结婚证生了孩子能上户口吗	128
办理收养登记,收养人应该提交什么材料?	1123
我可以诉请增加赡养费吗?	1253
交通事故责任复核后维持，还可以申请复核吗	737
交通事故中是按照什么标准来划分责任的？	731
去法院起诉诉讼费要多少钱？	1249
发生交通事故后如何处理？	695
未约定还款期限，出借人如何主张权利？	785
民事案件的诉讼时效是几年？	1638
哪些可以被称为是遗产啊？	389
工伤认定申请需要提交什么材料？	725
企业为职工只缴纳社会保险中的工伤保险可以吗？	448
起诉状	1641
什么是虚假广告	2244
需要办理监护人公证流程怎么办?	1035
公司因为经营困难辞退员工，这样的做法合法吗？	241
在医疗纠纷中，患者要如何保存病历？	2438
远程帮教会见怎么申请？	3179
我把人撞伤了,伤着没什么大碍,我需要赔偿多少钱?	720
怎么办理股权转让公证	986
诉前财产保全申请应提交的基本资料	829
在职业病诊断期间，单位能辞退我吗？	1291
一方不履行离婚协议条款怎么办？	119
拒交物业费会有什么后果？	2560
哪些员工不能以不胜任工作为由解除?	3140
签订劳动合同时要注意哪些事项？	337
"哪些家庭可以寄养孩子,寄养家庭应履行哪些义务	？"	1169
抚养费给吗？	20
收养行为在什么情况下无效?	1151
企业可以和员工自由约定竞业限制的期限吗？	432
债权人能否直接起诉担保人偿还债务?	873
欠条与借条有哪些区别	890
我们公司实习期都不给员工缴纳社保的，这样合理吗？	308
丧葬补助费是遗产吗？	392
职工因交通事故导致工伤,能否同时获得工伤保险和交通事故赔偿?	733
社区矫正工作人员违法违纪怎么处理？	3308
先垫付一部分对方医疗费用,但是不够	659
城市“三无”老年供养申请	1205
父债是否需要子还吗 ？	845
误工费应该怎么计算	645
离职后社保怎么办？	318
家暴	1540
交通事故认定书。我们复核一次,撤回来了。还可不可以在申请复核???	737
结婚证找不到了，怎么办理离婚手续？	12
工伤认定程序怎样走？	194
被扶养人生活费要如何赔偿？	2481
借款担保人什么情况下可以不承担责任？	854
到哪里申请法律援助?	1056
物业公司进驻小区需满足的条件?	2206
服务期违约了，要怎么赔偿了？	340
《劳动争议调解仲裁法》对自行和解作了哪些规定?	3832
职员拒绝治疗，单位要支付停工留薪待遇吗？	479
交通事故赔偿农村户口如何按城市标准赔偿?	626
补休与加班费的适用条件？	2901
子女不尽扶养义务,继承权或将丧失	1210
可以自己选择机构进行劳动能力鉴定吗？	177
调走	1790
如何解雇不能胜任工作的员工? 	458
老人没有子女应该由谁来赡养？	1200
医疗机构将患者病理检查标本丢失，要怎么办？	2414
孩子判给我的可能性是多少	17
断绝父子关系还要承担养老责任吗？	1232
丧假怎么计算工资？	243
工伤认定超时维权	223
实习期内公司可以随便辞退员工吗？	431
公司法定节假日上班不给加班工资，给员工调休，这样合法吗？	517
劳动仲裁裁决书已经生效后还可以向法院起诉吗？	231
交通事故起诉索赔要什么证据?	627
万一有错怎么办	1890
交通事故不适用交警调解的情形	743
申请办理病退需要哪些条件？	266
道路交通事故责任认定书应当在多长时间内出具	729
报考人员的学历证书在什么情况下需要进行学历认证？	3251
签了劳务合同还能认定存在劳动关系吗？	342
医疗机构是指哪些？	2550
拒不支付劳动报酬罪的构成要件是什么？	2888
人民调解委员会是群众组织吗？	3208
婚前全款买房,离婚后如何分?	49
不定时工作制	1533
收养弃婴需要经过哪些程序	1124
医疗事故技术鉴定申请书如何写？	2526
造成交通事故后逃逸的处罚	755
没有领取结婚证,但是事实婚姻,受法律保护吗?	1871
业主的财物被损毁，可以要求物业负责吗？	2065
工伤鉴定需要找哪个部门	176
跟老婆领了结婚证.还没离婚.可以和别人再领结婚证吗	108
开车撞死人全责要坐多久的牢	772
患者因医疗产品缺陷受损害的，谁来担责？	2388
单位对工伤认定结论不服怎么办？	568
劳动能力鉴定的规定是什么？	564
交通事故保险如何理赔	629
单位支付一次性医疗补助金吗？	591
寄养家庭应当具备的条件	1111
申请劳动仲裁有时间限制吗	178
发生交通事故时我们该怎么办	695
公司要我调岗,我不同意,要怎么办!	143
单位和我约定两次试用期违法吗？	257
未成年人放弃继承权能否有效？	387
单位没有工会组织,规章制度的民主程序该如何进行?	451
整形人因美容整形受损，能不能要医院赔偿精神损害？	2505
对仲裁裁决不服该怎么办?	260
房屋认购意向	2015
招聘员工入职的时候，怎样进行法律风险防范？	525
过继子女是否拥有继承权？	330
职工多次旷工，企业可以解雇吗？	468
交通事故发生后,交警不出具事故责任认定书怎么办	740
小区地下车位能卖吗	1973
起诉需要哪些证据	627
法院诉讼费是怎么收的 法院诉讼费收费标准	805
对方欠钱不还我可以起诉吗?起诉了也没钱还怎么办	804
车祸打官司需要提供哪些资料?	684
我开车撞人，全责,都需要赔偿对方什么费用？	628
仅约定试用期的合同有效吗？	538
借款的利息可以预先从本金中扣除吗?有何规定呢	899
哪些纠纷不可以申请人民调解？	3210
上哪去申请法律援助?	1056
劳务派遣单位单方解除劳动合同的程序是什么？	3753
在监狱里想要和外面的人打电话要怎么申请？	3524
主张加班费需要些什么证据？	265
丧假的工资要怎么计算？	243
怎么样申办公证	1048
离婚协议书怎么写才好	15
未经申请，人民调解委员会是否可以组织进行人民调解活动？	3209
事实收养可以办理收养登记吗	1131
乘坐出租车发生交通事故,保险公司应该怎样理赔	638
职业病是否属于工伤？	589
单位可以单独签订一个试用期合同吗？	442
您好我想咨询一下婚姻法	1606
交通事故后一方逃逸	754
房屋产权公证手续	1958
单位辞退哺乳期女职工需要赔偿吗？	2809
婚后自建的房屋怎么分？	58
上下班酒驾出车祸算不算工伤？	572
我被车撞	1580
公司可以以为员工解决户口为由，和员工约定服务期和违约金吗？	537
信用卡逾期未还，会被判刑吗？	882
诉讼时效期限届满有什么法律后果?	678
成绩单公证（涉外）怎么办理？	1012
判决书生效后对方拒不履行怎么办？	688
哪些办法可以预防医院收费不合理？	2448
哪些义务是物业公司该履行的？	2347
要回孩子的抚养权可能性大吗？	19
交通事故诉讼流程是怎样的呢?	616
怎么样才能办理取保候审?	766
员工升职或者调岗，单位可不可以再次约定试用期吗？	445
社保离职怎么办理？	318
遗赠扶养协议中的抚养人有哪些规定?	1209
伤残鉴定应该什么时候做最好	658
劳动报酬	1321
单位为员工解决户口，可以和员工约定服务期和违约金吗？	537
申领失业保险金的程序是什么？	323
申请劳动仲裁需要钱吗	276
如何界定被追究刑事责任？	3128
交通事故起诉需要哪些证据？	627
如果辞职单位不给走怎么办？	189
员工的试用期遇到法定节假日，单位要求顺延可以吗？	516
收养孤儿的条件?	1105
企业有无支付未休年假补偿的举证责任在哪一方？	3772
没有结婚证去哪里离婚？	97
如何理解患者的肖像权？	2358
公司医疗期内辞退应该怎么处理?	242
签订监护协议后，精神病人在医院自杀，医院是否承担责任？	2412
哪些情形不允许特许离监？	3356
三个孩子的抚养权我能要几个	27
单位不支付加班费	249
欠钱坐牢之后还要还吗？	843
离婚的流程和手续办理	1962
属于禁止或暂时不能结婚的疾病有哪些？	1876
我能否向法院申请先予执行赡养费	1277
我国仲裁机构作出的仲裁裁决能否部分撤销？	3462
今年没休的年假，明年会过期吗？	470
可以找他人代签劳动合同吗？	287
什么情况下企业将赔偿员工双倍工资？	373
"倒闭工资	"	145
工伤后自己可以选择鉴定机构吗？	588
借款人借钱不还 担保人以物抵债	821
什么时候能申请交通事故伤残评定	1091
公司破产，我能获得赔偿吗？ 	229
职业病诊断证明书	1417
网贷征信逾期的后果？	852
如何收养打拐解救儿童 打拐解救儿童收养方法	1175
我撞上小车了，怎么办？	695
离婚财产中的银行存款要怎么分	40
劳动合同必备条款有哪些	335
开发商拖延办理产权证，有什么办法可以维护自己的权益呢? 	924
怎样申请法律援助	1063
交通事故中财产损失怎么索赔	630
离婚一般要多少钱？	10
试用期内用人单位解除劳动合同的注意事项有哪些？	2715
到哪里申请工伤认定？	722
交通事故申请复核可以申请几次？	737
提前多少天辞职	232
您好！父母有权干涉子女的婚姻吗？还有财务问题吗？	1872
让您费心了	1882
公司能否拒绝录用乙肝病原携带者吗？	421
何时做伤残鉴定有时间限制吗	658
医疗期如何计算？	3547
是否坐牢了就不用赔	666
员工有停工留薪期，是否还能享受带薪年休假？	478
新生婴儿出生残疾，因医院未履行告知义务，谁来承担责任？	2469
我们有三个小孩,如果离婚小孩的抚养权如何判	27
抵押借款合同中抵押物归债权人的约定有效吗?	876
新婚姻法有关协议离婚的条件	91
劳务派遣工被辞退怎么赔偿的？	214
没有继承人的遗产如何处理？	1279
子女不履行赡养义务怎么办 做到哪些才算尽了赡养义务	1243
女员工产假期间工资怎么计算？	234
如果离职后发现有职业病了，应该怎么办？	371
想了解诉讼时效有多长？	2298
监狱应公开哪些信息？	3304
购买房屋未备案被查封	1982
分居满两年，可不可以与他人结婚？	90
工伤死亡赔偿金如何计算？	202
想辞职，公司不让走怎么办？	189
伤残鉴定的费用是多少，需要谁来出？	663
想知道更换物业公司的具体程序有哪些？	2214
开发商逾期交房，我要和开发商协商有什么注意事项吗？	971
怎么才算酒驾	1561
消费者应履行哪些义务	2042
交通事故去法院起诉,有没有时间限制?	631
抚养费真的拿不起，怎么办？	32
办理继承公证需要提供什么材料?	975
父母的遗产是否可以不给儿媳？	1275
起诉的条件	2066
公司聚餐回家的路上发生交通事故算不算工伤	703
夫妻一方婚前首付购房 离婚时该如何分割	48
小老板拖欠工资怎么办	133
主客观题分开考吗？	3291
物业公司可以进行哪些业务？	2130
外文文件译文相符公证（涉外）怎么办理？	1024
员工服务期内违约离职，公司如何要求补偿？	532
孕期女职工产前检查可以休几次？一次是半天还是一天？	2784
派遣员工被辞退有没有赔偿？	214
医生有哪些权利？	2377
工伤认定时效过了，我该怎么办？	223
试用期内解除劳动合同处理	230
个人申请法律援助的条件是什么?	1066
公务员是否适用人事争议仲裁程序？	3403
公司强制要求调岗我该怎么办	143
我写了放弃继承权声明书可以反悔吗？	386
辞职了，老板不给薪水怎么办	133
有哪些义务属于医疗机构及医务人员？	2379
交通事故和解协议书怎么写?	709
如何办理房屋买卖合同公证	981
被继承人的遗产不够偿还他生前的债务，怎么办？	1283
申请劳动仲裁后单位不执行该怎么办	246
解除同居关系协议书	1466
房屋质量	1061
领养的小孩怎么上户口	1166
物业有权向原业主的继承人主张让其补缴原业主所欠物业费吗？	2250
交通费怎么赔偿？	2482
哪些情况下，法律援助机构会终止援助服务？	1073
朋友借钱不还没打欠条咋办？	782
订立劳动合同时要注意哪些问题？	2658
如何书写离婚起诉状?	16
竞业限制的人员限于用人单位的哪些人员？	440
姜律师你好，有个婚姻问题咨询下您！	1606
寄养家庭在寄养期间必须履行哪些义务？	1169
支付令申请书范本是怎样的	827
企业能否规定员工请假过多，社保由自己承担？	490
遗嘱主要有哪些形式？	1267
业主有车位但没买车也要交费，这样是对的吗？	2284
婚后自建房,离婚时该怎么分	58
未上保险怎么要赔偿	718
产假法定节假日顺延吗？	515
我被车撞了怎么办？	695
继承人以外的人在什么情况下可以适当分得遗产？	403
哪些情况不可以申请法律援助	1072
老人赡养费标准的法律依据?	1246
装修垃圾费要何时交？	2282
如何申请办理婚前财产约定公证?	996
申请支付令费用是多少？	826
我是工伤,在家养病期间工资怎么给?	226
什么是同居关系	1959
为什么需要规章制度合法？	2566
发生交通事故后该怎么办	695
道路事故	1577
你好，我们分居三年，一直没有联系，是不在法律意义上解除了婚姻关系呢？我该怎么做？	1861
开发商不给办房产证,可不可以拒还银行贷款了	920
制作解雇书的注意要点有哪些？	2632
单位少缴社保应该怎么办？	311
关于定金应注意哪些问题	949
借条范本	891
儿媳、女婿对公婆、岳父母的遗产是否享有继承权？	361
企业没有工会规章制度怎么做才合法？	451
医务人员操作不当导致并发症，患者可不可以让医疗机构承担责任？	2421
交通事故赔偿,伤残鉴定费是多少，由谁出?	663
律师收费标准是什么？	648
没签订劳动合同，工伤怎么办？	273
我的信用卡借给别人用了现在还给我了但是没还款，怎么办？	866
什么情况下可以办理取保候审？	768
逃逸	1558
怎么向法院申请强制执行,流程是什么	274
申请财产保全需要什么材料？	829
交通事故对方全责算工伤吗	800
请问离职后能拿到伤残一次性就业补助金了吗？	207
工伤事故如何处理	150
我丧失了劳动能力，公司要辞退我怎么办？	250
没领证的情况下，彩礼应该退给男方多少？	67
取保候审的保证人需满足哪些条件	769
企业可以申请法律援助吗？	1090
赡养协议	1457
打官司的地点应该在哪里?	618
交通银行信用卡被冻结原因有哪些	889
法考报名及考试具体安排？	3239
新婚姻法离婚财产如何分割？	4
交通事故是否构成伤残对赔偿影响大吗	652
收养孩子需符合什么条件	1223
因房屋质量问题想退房	1055
车祸后和解要注意哪些问题？	704
除夕是法定节假日吗？	328
声明书公证怎么办理？	980
经营者不给换货怎么办	2139
加班费计算方法	1523
与公司签订的无任何纠纷的协议效力如何？	331
如果未能认定为工伤，是否可以要求单位垫付医药费？	155
业主可以以房屋存在质量问题或建设单位存在其他的违约情况而不交物业费吗？	2264
婚内出轨,会不会要承担什么法律责任	120
如何证明与用人单位之间存在劳动关系？	263
我开车撞人了,需要赔偿多少	628
能扣试用期工资吗？	360
仲裁结果不服怎么办	260
经营者拒绝换货怎么办	2139
对不属于仲裁委员会管辖范围的仲裁申请如何处理?	3821
夫妻离婚房子怎么分	36
法律援助个人条件	1066
朋友借钱不还没打借条咋办	782
交通事故保险公司是否应承担赔偿责任	710
请问什么叫做劳动能力鉴定？	140
无证驾驶发生交通事故会受到什么处罚？	746
单位发的奖金可以替代加班费吗？	518
请问交强险赔偿2000包括修自己车吗?	677
工伤认定需要哪些资料	725
加班时间不受限制的情形有哪些？	513
用人单位能单方决定延长试用期吗？	291
我开车撞人了，我垫付1万，现在没钱了，对方也讲没有钱。我这种情况怎么办	696
别人逼我写下借条,并签字和按手印请问有效吗?	892
肇事者甘愿坐牢不赔偿	666
公司没有给我申报工伤怎么办?	218
民间借贷合同没有约定还款期限，贷款人可以随时主张借款人还款吗？	785
私自收养弃婴的行为怎么处理	1168
工作多久可以领工资？	158
立案	1964
这份交通事故认定书,我不服怎么办?	732
交通事故发生,如何从保险公司获赔?	629
企业辞退无固定期限劳动合同员工的法律责任？	3722
结婚	1396
竞业限制的补偿金标准是怎样的呢？如何支付？	2750
建立收养关系是否需要须征得被收养人的同意？	1118
业主撤销权	2335
没有结婚证怎么给孩子上户口??	128
我开的是摩托车我把巡逻摩托车撞了怎么办	695
别人的车把我撞了，我非要去做伤残鉴定吗？	672
经营者在退款时扣除手续费是否合法	2154
医院操作不规范致婴儿受伤，该怎样赔偿？	2465
判决书下来了，对方一直不给钱怎么办？	688
监狱收监执行的罪犯有哪些？	3327
单位与员工续签劳动合同，要不要再约定试用期？	444
户口本被父母藏起来了想领证怎么办	129
对外国收养人的年龄有什么限制？	1162
员工入职培训后就离职,是否要赔偿招聘、入职培训费用?	533
给员工只上工伤保险可以吗?	448
债权人只起诉担保人，担保人如何应诉？	859
遗产继承纠纷如何起诉，要注意些什么？	1285
朋友借钱不还可以报案告他诈骗吗?	793
消费者知假买假是否可以获得赔偿？	2163
医护人员透露病情导致患者被“吓死”，医院是否承担责任？	2428
离婚要哪些材料？	14
小区内水、电、暖、气等专营设施设备的产权归谁所有?	2228
借贷逾期了怎么办	852
请问事实收养公证材料需要哪些呢?	1140
已经签订了劳务合同，还能否认定为劳动关系？	342
离婚后女方如何建立户口	109
收养孩子的5个条件	1223
录用通知书与劳动合同不一样，以哪个为准 ？	418
申请劳动仲裁要什么时候去	178
交通事故打官司需要什么证据	627
出差发生交通事故还算工伤吗？	165
如何把握鉴定时机	1560
打了借条没收到借款，怎么办？	797
交通事故后多少时间内可申请工伤	730
公共维修的费用可以怎样分摊？	2221
你好啊	1880
伤残补助金是怎么计算？	203
